Country,PopulationSize,TotalCases,TotalDeaths,PopulationInfectedPercentage,PopulationDeathPercentage,DeathRatePercentage
San Marino,33690,25292,126,75.07272,0.374,0.49818
Cyprus,896007,660854,1364,73.75545,0.15223,0.2064
Brunei,449002,315733,164,70.31884,0.03653,0.05194
Austria,8939617,6081287,22534,68.02626,0.25207,0.37055
South Korea,51815808,34571873,35934,66.72071,0.06935,0.10394
Faeroe Islands,53117,34658,28,65.24841,0.05271,0.08079
Slovenia,2119843,1347064,9487,63.54546,0.44753,0.70427
Gibraltar,32677,20550,113,62.88827,0.34581,0.54988
Martinique,367512,230354,1104,62.67931,0.3004,0.47926
Andorra,79843,48015,159,60.13677,0.19914,0.33115
Jersey,110796,66391,161,59.92184,0.14531,0.2425
Luxembourg,647601,386030,1000,59.60923,0.15442,0.25905
Saint Pierre and Miquelon,5885,3426,2,58.2158,0.03398,0.05838
Denmark,5882259,3417017,8824,58.09022,0.15001,0.25824
France,67813000,38997490,167985,57.5074,0.24772,0.43076
Iceland,372903,209328,186,56.13471,0.04988,0.08886
Guernsey,63329,35326,67,55.78171,0.1058,0.18966
Portugal,10270857,5631629,27702,54.83115,0.26971,0.4919
Liechtenstein,39355,21526,87,54.69699,0.22106,0.40416
Latvia,1850654,976798,7412,52.78123,0.40051,0.75881
Greece,10384972,5464525,37869,52.61954,0.36465,0.693
Guadeloupe,395762,203235,1021,51.35283,0.25798,0.50237
Israel,9449000,4841772,12707,51.2411,0.13448,0.26245
Reunion,974062,494595,921,50.77654,0.09455,0.18621
Switzerland,8740471,4425596,14086,50.63338,0.16116,0.31828
Falkland Islands,3801,1923,,50.59195,,
Saint Barthelemy,10994,5507,5,50.09096,0.04548,0.09079
Georgia,3744385,1855289,17132,49.54856,0.45754,0.92341
Lithuania,2750058,1350542,9761,49.10958,0.35494,0.72275
Netherlands,17564020,8620051,22986,49.07789,0.13087,0.26666
Singapore,5637022,2739037,1933,48.59014,0.03429,0.07057
Seychelles,107135,51058,172,47.65763,0.16055,0.33687
Bahrain,1472237,696614,1536,47.3167,0.10433,0.2205
Monaco,36491,17181,67,47.08284,0.18361,0.38997
New Zealand,5185289,2422392,3549,46.71662,0.06844,0.14651
Germany,83369840,38437756,174979,46.10511,0.20988,0.45523
Niue,1952,895,,45.85041,,
Cayman Islands,68722,31472,37,45.79611,0.05384,0.11756
Estonia,1326064,602909,2906,45.46606,0.21914,0.482
Isle of Man,84534,38008,116,44.96179,0.13722,0.3052
Czechia,10493990,4684233,43019,44.63729,0.40994,0.91838
Australia,26177410,11678853,23766,44.61424,0.09079,0.2035
Italy,59037472,26318717,192909,44.57968,0.32676,0.73297
Bonaire Sint Eustatius and Saba,27052,11922,41,44.07068,0.15156,0.3439
Nauru,12691,5393,1,42.49468,0.00788,0.01854
Cook Islands,17032,7218,2,42.37905,0.01174,0.02771
Aruba,106459,44224,292,41.54087,0.27428,0.66027
Belgium,11655923,4829921,34339,41.43748,0.29461,0.71096
Saint Helena,5401,2166,,40.10368,,
Montenegro,627082,251280,2654,40.07131,0.42323,1.05619
Barbados,281646,110132,593,39.10299,0.21055,0.53844
Marshall Islands,41593,16138,17,38.7998,0.04087,0.10534
Saint Martin (French part),31816,12324,46,38.73523,0.14458,0.37326
Puerto Rico,3252412,1252713,5938,38.51643,0.18257,0.47401
Serbia,6871547,2583470,18057,37.59663,0.26278,0.69894
United Kingdom,67508936,24812582,232112,36.75451,0.34382,0.93546
Maldives,523798,186694,316,35.64237,0.06033,0.16926
Palau,18084,6249,9,34.55541,0.04977,0.14402
Ireland,5023108,1725026,9366,34.34181,0.18646,0.54295
Slovakia,5643455,1868801,21167,33.11448,0.37507,1.13265
French Guiana,304568,98041,413,32.19018,0.1356,0.42125
Montserrat,4413,1403,8,31.79243,0.18128,0.57021
Croatia,4030361,1277094,18495,31.68684,0.45889,1.44821
Wallis and Futuna,11596,3550,8,30.614,0.06899,0.22535
United States,338289856,103436829,1144877,30.57639,0.33843,1.10684
Uruguay,3422796,1040596,7656,30.40193,0.22368,0.73573
Guam,171783,52187,417,30.37961,0.24275,0.79905
Mongolia,3398373,1011319,2284,29.75892,0.06721,0.22584
Spain,47558632,13980340,121852,29.39601,0.25621,0.8716
Bermuda,64207,18860,165,29.37374,0.25698,0.87487
Northern Mariana Islands,49574,14334,41,28.91435,0.0827,0.28603
New Caledonia,289959,80064,314,27.61218,0.10829,0.39219
Norway,5434324,1489459,5732,27.40836,0.10548,0.38484
Japan,123951696,33803572,74694,27.27157,0.06026,0.22096
Chile,19603736,5319739,64497,27.13635,0.329,1.21241
Finland,5540745,1499712,10864,27.06697,0.19607,0.72441
Tuvalu,11335,2943,1,25.96383,0.00882,0.03398
Sweden,10549349,2728931,25332,25.86824,0.24013,0.92828
French Polynesia,306292,78700,649,25.69444,0.21189,0.82465
United States Virgin Islands,99479,25389,132,25.52197,0.13269,0.51991
Sint Maarten (Dutch part),44192,11051,92,25.00679,0.20818,0.8325
Anguilla,15877,3904,12,24.58903,0.07558,0.30738
Curacao,191173,45883,305,24.00077,0.15954,0.66473
Mauritius,1299478,311465,1055,23.96847,0.08119,0.33872
Costa Rica,5180836,1230653,9368,23.75395,0.18082,0.76122
Panama,4408582,1041696,8651,23.62882,0.19623,0.83047
British Virgin Islands,31332,7392,64,23.59249,0.20426,0.8658
Micronesia (country),114178,26547,65,23.25054,0.05693,0.24485
Malta,533293,120705,885,22.6339,0.16595,0.73319
Lebanon,5489744,1239904,10947,22.58583,0.19941,0.88289
Hungary,9967304,2212994,48848,22.20253,0.49008,2.20733
Argentina,45510324,10072905,130678,22.13323,0.28714,1.29732
Dominica,72758,16027,74,22.02782,0.10171,0.46172
Greenland,56494,11971,21,21.18986,0.03717,0.17542
Turkey,85341248,17004677,101419,19.92551,0.11884,0.59642
Bulgaria,6781955,1312102,38494,19.34696,0.56759,2.93377
Moldova,3272993,627458,12154,19.17077,0.37134,1.93702
Qatar,2695131,514524,690,19.09087,0.0256,0.1341
American Samoa,44295,8359,34,18.8712,0.07676,0.40675
Romania,19659270,3501193,68590,17.80937,0.34889,1.95905
Belize,405285,71373,688,17.61057,0.16976,0.96395
Brazil,215313504,37519960,702116,17.42573,0.32609,1.87131
Saint Lucia,179872,30209,410,16.79472,0.22794,1.35721
North Macedonia,2093606,349868,9958,16.71126,0.47564,2.84622
Poland,39857144,6553317,119753,16.44201,0.30046,1.82736
Armenia,2780472,451107,8774,16.22412,0.31556,1.94499
Russia,144713312,23258444,400488,16.07208,0.27675,1.7219
Tonga,106867,16888,12,15.80282,0.01123,0.07106
Grenada,125459,19693,238,15.69676,0.1897,1.20855
Kuwait,4268886,666538,2570,15.61386,0.0602,0.38557
Jordan,11285875,1746997,14122,15.4795,0.12513,0.80836
Kosovo,1782115,274279,3212,15.39065,0.18024,1.17107
Malaysia,33938216,5140563,37201,15.14683,0.10961,0.72368
Turks and Caicos Islands,45726,6697,40,14.64593,0.08748,0.59728
Ukraine,39701744,5520483,109918,13.90489,0.27686,1.99109
Saint Kitts and Nevis,47681,6607,46,13.85667,0.09647,0.69623
Palestine,5250076,703228,5708,13.39463,0.10872,0.81169
Suriname,618046,82506,1404,13.34949,0.22717,1.70169
Peru,34049588,4520102,221564,13.27506,0.65071,4.90175
Mayotte,326113,42027,187,12.88725,0.05734,0.44495
Botswana,2630300,330397,2800,12.56119,0.10645,0.84747
Trinidad and Tobago,1531043,191496,4390,12.50755,0.28673,2.29248
Bosnia and Herzegovina,3233530,403355,16369,12.47414,0.50623,4.05821
Colombia,51874028,6383948,142727,12.30664,0.27514,2.23572
Canada,38454328,4731777,53255,12.30493,0.13849,1.12548
Vietnam,98186856,11624000,43206,11.83865,0.044,0.3717
Albania,2842318,334090,3604,11.75414,0.1268,1.07875
United Arab Emirates,9441138,1067030,2349,11.30192,0.02488,0.22014
Cape Verde,593162,64474,416,10.86954,0.07013,0.64522
Paraguay,6780745,736118,19933,10.856,0.29396,2.70785
Belarus,9534956,994037,7118,10.42519,0.07465,0.71607
Cuba,11212198,1115043,8530,9.94491,0.07608,0.76499
Bolivia,12224114,1209626,22407,9.89541,0.1833,1.85239
Antigua and Barbuda,93772,9106,146,9.71079,0.1557,1.60334
Tunisia,12356116,1153361,29423,9.33433,0.23812,2.55107
Saint Vincent and the Grenadines,103959,9674,124,9.30559,0.11928,1.28179
Bahamas,409989,38084,844,9.28903,0.20586,2.21615
Guyana,808727,73673,1299,9.10975,0.16062,1.7632
Oman,4576300,399449,4628,8.72865,0.10113,1.1586
Iran,88550568,7624699,146724,8.61056,0.1657,1.92433
Pitcairn,47,4,,8.51064,,
Azerbaijan,10358078,834135,10367,8.05299,0.10009,1.24284
Bhutan,782457,62697,21,8.01284,0.00268,0.03349
Kazakhstan,19397998,1502857,19072,7.74749,0.09832,1.26905
Samoa,222390,16780,31,7.5453,0.01394,0.18474
Libya,6812344,507269,6437,7.44632,0.09449,1.26895
Fiji,929769,69047,885,7.42625,0.09518,1.28174
Guatemala,17843914,1250301,20201,7.00688,0.11321,1.61569
China,1425887360,99320723,121877,6.96554,0.00855,0.12271
South Africa,59893884,4072575,102595,6.79965,0.17129,2.51917
Namibia,2567024,172170,4102,6.70699,0.1598,2.38253
Thailand,71697024,4760122,34495,6.63922,0.04811,0.72467
Eswatini,1201680,75166,1427,6.25508,0.11875,1.89846
Mexico,127504120,7702387,334917,6.04089,0.26267,4.34822
Ecuador,18001002,1065377,36036,5.91843,0.20019,3.38246
Dominican Republic,11228821,661180,4384,5.88824,0.03904,0.66306
Iraq,44496124,2465545,25375,5.54103,0.05703,1.02918
Jamaica,2827382,156551,3589,5.53696,0.12694,2.29254
Honduras,10432858,472743,11114,4.53129,0.10653,2.35096
Tokelau,1893,80,,4.2261,,
Kiribati,131237,5085,24,3.87467,0.01829,0.47198
Vanuatu,326744,12019,14,3.67841,0.00428,0.11648
Philippines,115559008,4173631,66755,3.61169,0.05777,1.59945
Solomon Islands,724272,25954,199,3.58346,0.02748,0.76674
Morocco,37457976,1277862,16297,3.41146,0.04351,1.27533
Nepal,30547586,1003450,12031,3.28487,0.03938,1.19896
Vatican,808,26,,3.21782,,
El Salvador,6336393,201833,4230,3.1853,0.06676,2.09579
India,1417173120,45002179,533300,3.17549,0.03763,1.18505
Sri Lanka,21832150,672639,16886,3.08096,0.07734,2.51041
Sao Tome and Principe,227393,6635,80,2.91786,0.03518,1.20573
Laos,7529477,218901,671,2.90725,0.00891,0.30653
Indonesia,275501344,6813429,161918,2.4731,0.05877,2.37645
Saudi Arabia,36408824,841469,9646,2.31117,0.02649,1.14633
Gabon,2388997,49046,307,2.053,0.01285,0.62594
Venezuela,28301700,552695,5856,1.95287,0.02069,1.05954
Timor,1341298,23460,138,1.74905,0.01029,0.58824
Zambia,20017670,349298,4069,1.74495,0.02033,1.16491
Zimbabwe,16320539,265927,5727,1.6294,0.03509,2.1536
Lesotho,2305826,35836,709,1.55415,0.03075,1.97846
Djibouti,1120851,15690,189,1.39983,0.01686,1.20459
Mauritania,4736146,63777,997,1.3466,0.02105,1.56326
Kyrgyzstan,6630621,88924,1024,1.34111,0.01544,1.15155
Bangladesh,171186368,2046090,29477,1.19524,0.01722,1.44065
Myanmar,54179312,641383,19494,1.18382,0.03598,3.03937
Comoros,836783,9109,161,1.08857,0.01924,1.76748
Equatorial Guinea,1674916,17130,183,1.02274,0.01093,1.0683
Rwanda,13776702,133208,1468,0.96691,0.01066,1.10204
Cambodia,16767851,138956,3056,0.8287,0.01823,2.19926
Mozambique,32969520,233676,2250,0.70876,0.00682,0.96287
Pakistan,235824864,1580631,30656,0.67026,0.013,1.93948
Kenya,54027484,344092,5689,0.63688,0.01053,1.65334
Algeria,44903228,271997,6881,0.60574,0.01532,2.52981
Afghanistan,41128772,229263,7965,0.55743,0.01937,3.47418
Senegal,17316452,89025,1971,0.51411,0.01138,2.21398
Ghana,33475870,171768,1462,0.51311,0.00437,0.85115
Uzbekistan,34627648,174575,1016,0.50415,0.00293,0.58198
Gambia,2705995,12626,372,0.46659,0.01375,2.9463
Egypt,110990096,516023,24830,0.46493,0.02237,4.8118
Papua New Guinea,10142625,46864,670,0.46205,0.00661,1.42967
Guinea-Bissau,2105580,9614,177,0.4566,0.00841,1.84107
Cameroon,27914542,125116,1974,0.44821,0.00707,1.57774
Togo,8848700,39526,290,0.44669,0.00328,0.73369
Malawi,20405318,89089,2686,0.4366,0.01316,3.01496
Congo,5970430,25206,389,0.42218,0.00652,1.54328
Burundi,12889583,54368,15,0.4218,0.00012,0.02759
Ethiopia,123379928,501087,7574,0.40613,0.00614,1.51151
Uganda,47249588,171876,3632,0.36376,0.00769,2.11315
Cote d'Ivoire,28160548,88354,835,0.31375,0.00297,0.94506
Angola,35588996,106002,1936,0.29785,0.00544,1.82638
Haiti,11585003,34493,860,0.29774,0.00742,2.49326
Guinea,13859349,38569,468,0.27829,0.00338,1.21341
Eritrea,3684041,10189,103,0.27657,0.0028,1.01089
Central African Republic,5579148,15367,113,0.27544,0.00203,0.73534
Syria,22125242,57423,3163,0.25954,0.0143,5.50825
Nicaragua,6948395,16077,245,0.23138,0.00353,1.52392
Madagascar,29611718,68386,1426,0.23094,0.00482,2.08522
Benin,13352864,28036,163,0.20996,0.00122,0.5814
Tajikistan,9952789,17786,125,0.1787,0.00126,0.7028
South Sudan,10913172,18595,138,0.17039,0.00126,0.74213
Somalia,17597508,27334,1361,0.15533,0.00773,4.97915
Liberia,5302690,8090,294,0.15256,0.00554,3.63412
Mali,22593598,33161,743,0.14677,0.00329,2.24058
Sudan,46874200,63993,5046,0.13652,0.01076,7.88524
Nigeria,218541216,267163,3155,0.12225,0.00144,1.18093
Democratic Republic of Congo,99010216,99226,1468,0.10022,0.00148,1.47945
Burkina Faso,22673764,22093,398,0.09744,0.00176,1.80148
Sierra Leone,8605723,7766,126,0.09024,0.00146,1.62246
Tanzania,65497752,43087,846,0.06578,0.00129,1.96347
Chad,17723312,7698,194,0.04343,0.00109,2.52014
Niger,26207982,9515,315,0.03631,0.0012,3.31056
Yemen,33696612,11945,2159,0.03545,0.00641,18.07451
